AAL,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BBBY,BIDU,BIIB,CA,CELG,CERN,CMCSA,COST,CSCO,CSX,CTRP,CTSH,DISCA,DISH,DLTR,EA,EBAY,ESRX,EXPE,FAST,FB,FOX,FOXA,GILD,GOOGL,INTC,JD,KHC,LBTYA,LBTYK,LRCX,MAR,MAT,MCHP,MDLZ,MSFT,MU,MXIM,MYL,NCLH,NFLX,NTAP,NVDA,NXPI,PAYX,PCAR,PYPL,QCOM,QVCA,ROST,SBUX,SIRI,STX,SWKS,SYMC,TMUS,TRIP,TSCO,TSLA,TXN,VIAB,VOD,VRTX,WBA,WDC,WFM,XLNX,YHOO,NDX
35.98,96.8,97.8,61.15,95.4,58.18,58.0,127.04,26.68,165.81,742.12,42.3,161.41,44.21,159.89,286.32,34.57,106.05,62.07,67.34,167.6,30.79,28.37,43.52,58.4,25.42,52.44,96.55,76.95,30.6,76.54,117.88,41.99,121.94,27.5,26.86,84.0,756.57,34.77,21.8,88.54,31.1,30.21,91.24,71.11,32.78,54.78,45.69,56.515,14.0,39.2,47.13,41.9,91.0,26.44,56.1984,85.23,60.74,56.17,37.77,60.95,26.74,61.13,58.57899999999999,4.28,31.35,65.36,20.37,44.95,70.05,91.41,227.65,70.73,45.23,31.1701,95.27,81.36499999999998,52.16,33.95,48.61,38.01,4665.054
36.17,97.79,97.925,62.125,95.7,58.86,58.4,126.88,26.64,167.55,737.9749,41.59,162.69999999999996,44.65,162.91,289.41,34.59,107.17,62.15,67.13,168.68,31.11,28.505,43.85,58.87,25.73,52.73,97.0001,76.51999999999998,31.155,77.95,118.37,42.12,121.64,27.53,26.9,81.7,758.88,35.02,22.3,88.45,31.4,30.61,90.77,71.395,32.845,55.72,45.61,57.07,14.29,39.17,47.46,42.0,91.75,26.6,56.75,86.42,61.06,56.56,38.17,61.275,26.945,61.6949,58.72,4.305,31.945,64.8911,20.42,44.94,70.66,91.63,225.92,70.61,45.33,31.075,95.4,82.03,53.47,34.535,49.02,38.63,4682.076
35.935,97.055,97.18,61.72,95.286,58.51,57.92,126.91,26.5,167.49,736.83,41.355,160.62,44.27,163.1,289.25,34.52,106.92,62.08,67.07,167.19999999999996,30.855,28.46,44.005,58.545,25.58,52.46,96.44,76.45,31.0,77.62999999999998,117.35,41.96,121.28,27.29,26.695,81.47,754.395,34.925,22.265,87.71,31.26,30.5,90.98,71.18,32.73,55.64,45.095,56.75,14.31,38.885,46.94,41.88,92.02,26.475,56.42,85.76,60.77,56.43,38.131,60.85,26.925,61.55,58.39,4.285,31.975,64.25,20.29,44.75,70.05,90.77,227.9351,70.1,44.86,31.06,94.79,81.48999999999998,53.44,34.26,48.53,38.48,4659.085
36.1,97.245,97.75,61.88,95.59,58.81,58.025,126.55,26.54,167.33,735.7999999999997,41.64,161.22999999999996,44.4,163.29,288.905,34.555,106.71,62.13,67.185,167.72,30.909,28.6601,44.01,58.64,25.67,52.58,96.75,76.92499999999998,31.1,78.07,117.51,42.1,121.24,27.31,26.645,81.08,755.33,34.985,22.5,87.757,31.4089,30.66,91.01,71.39,32.76,55.83,45.45,57.02,14.32,39.13,47.0,41.89100000000001,91.6839,26.53,56.47,86.15999999999998,60.93,57.97,38.1,61.08,27.04,61.81,58.46,4.385,32.155,64.68,20.31,44.84,70.08,90.94,227.7,70.78,45.12,31.0348,94.92,81.75,53.48,34.41,48.68,38.61,4669.261
36.08,97.055,97.61000000000004,61.68,95.32,58.65,57.9,126.33,26.51,166.93,733.3710000000003,41.47,161.51,44.32,163.62,287.25,34.485,106.17,62.0,67.03,167.47999999999996,30.785,28.62,44.01,58.49,25.665,52.315,96.52,76.65999999999998,31.05,77.905,116.8549,41.92,120.91,27.265,26.63,80.62619999999998,754.98,34.91,22.56,87.26,31.31,30.56,91.11,71.19,32.635,55.845,45.22,56.777,14.325,38.95,46.67,41.89,91.269,26.49,56.14,86.22,60.82,58.16,37.965,61.02,26.94,61.7,58.31,4.36,32.04,64.88,20.26,44.71,69.87,90.31,227.62,70.8707,45.0,30.99,94.22,81.31499999999998,53.22,34.3,48.62,38.64,4657.527
36.35,96.72900000000004,97.91,63.25,95.66,58.62,58.09,126.37,26.715,167.14,734.5499999999997,41.505,162.71,44.31,164.47999999999996,287.1373,34.61,106.4,62.08,67.15000000000002,167.6,30.869,28.69,44.02,58.5,25.635,52.36,96.62,76.84,31.195,78.15999999999998,117.13,41.89,121.09,27.4,26.77,80.68999999999998,755.61,35.07,22.53,87.23999999999998,31.525,30.7,92.06,71.5,32.775,57.33,45.28,56.8,14.53,39.9586,46.54,41.85,91.37,26.52,56.58,87.39,60.99,58.33,37.79,61.28,26.92,61.87,58.3,4.37,32.27,65.85,20.28,44.735,70.23,90.46,228.28,71.89,45.09,30.985,94.0,81.25,53.24,34.28,49.462,38.76,4667.652
36.49,96.563,97.96,64.63447183098592,95.67,58.63,57.855,126.495,26.755,167.57,734.87,41.645,162.67,44.32,164.13,286.73,34.685,106.18,62.17,67.12,167.72999999999996,30.805,28.72,44.015,58.515,25.585,52.35,96.39,76.89,31.32,78.695,117.73,41.99,121.3,27.41,26.74,81.12999999999998,757.31,35.05,22.46,87.26,31.625,30.74,91.45,71.61,32.8,56.84,45.35,56.8,14.6,40.407,46.5,41.84,91.18,26.52,56.555,87.4,61.08,58.275,37.715,61.17,26.89,61.95,58.27,4.35,32.3,65.68,20.36,44.97,69.90000000000002,90.51,229.2158,71.56,45.23,31.03,94.52,81.33,53.393,34.1,49.6137,38.8201,4669.702
36.549,103.99,97.83,63.35,95.47,59.1628,49.21,127.3,26.87,168.49,739.51,41.245,163.87,44.58,164.54,288.28,34.6,106.895,61.795,67.485,167.17,30.845,28.66,43.71,58.41,25.6,52.31,96.54,76.98999999999998,31.555,78.385,117.47,41.91,122.025,27.3925,26.78,81.6175,761.19,35.13,22.49,86.12,31.62,30.74,92.2,70.73,32.9264,56.63,45.08,56.565,14.649,41.7,46.755,41.73,90.969,26.815,56.055,88.0001,60.97,59.19,37.32,61.905,26.795,61.87,58.19,4.39,32.7525,66.65000000000002,20.345,44.525,69.99,90.45,232.82,70.86,45.7,31.25,96.48500000000004,80.48,54.03,34.05,49.57,38.755,4709.778
36.24,103.1,97.59,63.9,95.145,59.13,48.31,126.64,26.75,168.96,737.475,41.34,164.055,44.2214,163.611,287.64,34.51,107.35,61.67,67.89,166.035,30.9,28.335,43.78,58.3,25.29,51.73,95.94,77.025,31.475,78.08,116.96,41.89,121.57,27.38,26.74,81.43,761.43,34.945,22.3,85.72,31.35,30.47,91.4,69.91199999999999,32.76,56.75,44.715,56.38,14.4,41.28,46.62,41.78,90.4101,26.55,55.81,87.3146,60.49,59.01,37.26,61.905,26.69,61.54,58.05,4.37,32.335,67.01000000000002,20.315,44.955,69.76000000000002,90.06,231.82,70.505,45.45,30.97,95.765,80.235,53.53,33.9658,49.58,38.57,4696.845
36.17,102.95,97.77,63.805,94.84,58.92,48.74,127.43,26.67,169.19999999999996,737.475,41.43,164.44999999999996,43.89,163.53,287.75,34.49,108.11,61.82,67.96,166.0521,30.755,28.23,43.82,58.14,25.35,51.8198,96.08,77.195,31.26,77.89499999999998,116.46,41.81,121.87,27.38,26.775,81.43,759.9175,34.855,22.37,85.25,31.23,30.34,91.235,70.03,32.63,56.8987,44.46,56.34,14.29,41.31,46.81,41.88,90.62,26.45,55.95,87.45,60.38,58.76,37.21,61.8,26.71,61.55,57.87,4.41,32.0,66.6484,20.305,45.86,70.02,89.9,228.91,70.825,45.41,30.955,96.02,80.07,53.39,33.85,49.73,38.67,4695.246
